dieharder -a -f ESP32-C6_RNG_186k.txt 
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|           ESP32-C6_RNG_186k.txt|  1.14e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.23670532|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.86291134|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.96100109|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.27970138|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.49024940|  PASSED  
        diehard_opso|   0|   2097152|     100|0.02782746|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.58509192|  PASSED  
         diehard_dna|   0|   2097152|     100|0.21514986|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.66911109|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.97774310|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.99225529|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.86021319|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.70484672|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.19718294|  PASSED  
        diehard_sums|   0|       100|     100|0.04207347|  PASSED  
        diehard_runs|   0|    100000|     100|0.96396291|  PASSED  
        diehard_runs|   0|    100000|     100|0.94507225|  PASSED  
       diehard_craps|   0|    200000|     100|0.98391720|  PASSED  
       diehard_craps|   0|    200000|     100|0.01071289|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.49848012|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.47681970|  PASSED  
         sts_monobit|   1|    100000|     100|0.57096271|  PASSED  
            sts_runs|   2|    100000|     100|0.90172448|  PASSED  
          sts_serial|   1|    100000|     100|0.14791583|  PASSED  
          sts_serial|   2|    100000|     100|0.24690083|  PASSED  
          sts_serial|   3|    100000|     100|0.89397886|  PASSED  
